,0,1,2,3,4,5,6
Columns,Rank,Win Ratio,AdjEM,AdjO,AdjD,AdjT,Luck
North Carolina,1,0.8918918918918919,+32.77,122.5,89.7,73.1,+.011
Illinois,2,0.9487179487179487,+32.68,122.3,89.6,64.1,-.007
Duke,3,0.8181818181818182,+27.41,115.7,88.3,68.3,-.002
Louisville,4,0.868421052631579,+25.78,118.8,93.0,66.3,+.045
Michigan St.,5,0.7878787878787878,+25.67,119.7,94.0,66.4,-.013
Oklahoma St.,6,0.7878787878787878,+25.02,121.2,96.2,66.2,-.015
Villanova,7,0.75,+25.02,114.7,89.7,67.0,-.054
Wake Forest,8,0.8181818181818182,+24.86,124.3,99.5,68.9,+.046
Kentucky,9,0.8235294117647058,+24.10,113.0,88.9,66.6,+.032
Florida,10,0.75,+23.93,116.4,92.5,65.2,-.027
Kansas,11,0.7666666666666667,+23.08,115.6,92.5,66.5,+.008
Oklahoma,12,0.7575757575757576,+22.55,114.4,91.8,65.4,-.006
Arizona,13,0.8108108108108109,+22.22,116.7,94.5,68.6,+.027
Washington,14,0.8285714285714286,+22.18,120.6,98.4,71.9,+.060
Connecticut,15,0.7419354838709677,+21.94,112.1,90.2,70.6,-.031
Syracuse,16,0.7941176470588235,+20.98,115.6,94.7,65.8,+.002
Wisconsin,17,0.7352941176470589,+20.81,112.0,91.2,62.8,+.042
Alabama,18,0.75,+20.51,118.8,98.3,62.8,+.033
Cincinnati,19,0.7575757575757576,+20.43,112.5,92.0,68.0,-.006
Utah,20,0.8285714285714286,+20.33,113.1,92.7,59.1,+.032
Utah St.,21,0.75,+19.62,116.0,96.4,61.1,-.094
Georgia Tech,22,0.625,+19.23,109.2,90.0,68.6,-.038
North Carolina St.,23,0.6,+18.93,115.0,96.1,63.1,-.062
Pittsburgh,24,0.6896551724137931,+18.41,114.8,96.3,64.0,-.057
Boston College,25,0.8333333333333334,+18.30,114.3,96.0,64.8,+.078
Gonzaga,26,0.8387096774193549,+17.88,119.3,101.4,67.1,+.012
Iowa,27,0.6363636363636364,+17.17,111.9,94.7,68.1,-.034
Texas,28,0.6451612903225806,+17.01,114.1,97.1,66.5,-.051
Southern Illinois,29,0.7714285714285715,+16.75,109.1,92.4,63.4,+.015
New Mexico,31,0.7878787878787878,+15.54,112.8,97.3,65.4,-.002
Texas Tech,32,0.6666666666666666,+15.47,110.3,94.8,69.0,+.037
Mississippi St.,34,0.6764705882352942,+15.25,109.3,94.0,68.1,+.038
West Virginia,35,0.6857142857142857,+15.00,114.1,99.1,63.6,+.082
Milwaukee,36,0.8125,+14.69,110.1,95.4,68.8,+.079
George Washington,38,0.7333333333333333,+14.41,109.9,95.5,70.8,-.013
Creighton,39,0.6764705882352942,+14.33,114.3,100.0,63.1,-.033
Pacific,40,0.8709677419354839,+14.08,114.5,100.5,63.6,+.091
Minnesota,41,0.65625,+14.06,104.0,89.9,67.3,+.016
LSU,42,0.6666666666666666,+13.80,113.9,100.1,66.7,+.070
Vermont,43,0.78125,+13.53,111.3,97.8,64.7,+.032
Northern Iowa,45,0.65625,+13.36,112.2,98.9,64.5,-.035
Iowa St.,48,0.6129032258064516,+13.02,103.1,90.1,66.8,+.003
UAB,51,0.6666666666666666,+12.51,109.2,96.7,71.0,-.001
Charlotte,54,0.7241379310344828,+12.15,111.6,99.5,70.6,+.042
Nevada,55,0.78125,+12.11,104.0,91.8,65.7,+.045
UTEP,58,0.7714285714285715,+11.62,112.7,101.1,65.9,+.015
UCLA,68,0.6206896551724138,+10.74,107.8,97.1,69.2,+.036
Stanford,69,0.5806451612903226,+10.63,106.6,95.9,67.1,+.049
Old Dominion,73,0.8235294117647058,+10.04,104.7,94.6,66.4,+.049
Louisiana Lafayette,74,0.6451612903225806,+9.91,107.1,97.2,67.6,+.037
Penn,77,0.6896551724137931,+9.60,102.1,92.5,68.2,+.034
Saint Mary's,78,0.7352941176470589,+9.41,106.8,97.4,64.9,+.080
Ohio,85,0.65625,+8.29,109.8,101.5,65.7,+.042
Bucknell,95,0.696969696969697,+6.69,102.2,95.6,63.1,+.063
Niagara,106,0.6666666666666666,+5.43,115.2,109.8,70.1,-.027
Winthrop,108,0.8181818181818182,+4.97,101.5,96.5,63.1,+.065
Southeastern Louisiana,134,0.7272727272727273,+3.20,97.1,93.9,60.0,+.007
Eastern Kentucky,143,0.7096774193548387,+1.98,102.8,100.8,66.1,+.099
Chattanooga,165,0.6451612903225806,+0.03,98.9,98.8,67.6,+.059
Oakland,178,0.40625,-1.20,108.1,109.3,65.2,-.022
Fairleigh Dickinson,190,0.6060606060606061,-2.52,102.7,105.2,68.6,-.003
UCF,192,0.7272727272727273,-2.56,105.0,107.6,60.1,+.067
Montana,194,0.5806451612903226,-2.73,99.9,102.6,68.2,+.049
Delaware St.,209,0.5757575757575758,-4.95,102.3,107.2,59.3,+.077
Alabama A&M,278,0.5172413793103449,-12.49,90.5,102.9,72.8,-.023
